sampMatCode.base.building.DESC,organic,mean,sum,count
"Cow, ox or bull fresh meat",1,0.0,0,257
Cowberries,0,0.0,0,425
Cowberries,1,0.0,0,431
Crab apples,0,0.00035001750087504374,3,8571
Cranberries,0,0.0,0,4657
Cranberries and similar-,0,0.0,0,1418
Cranberries and similar-,1,0.0,0,275
Cream cheese,1,0.0,0,176
Cream sprayable,0,0.03333333333333333,5,150
"Cream, plain",0,0.0015600624024961,4,2564
"Cream, plain",1,0.0,0,11
Cresses,0,0.00036075036075036075,1,2772
Crisp lettuces,0,1.1075546301321312e-05,1,90289
Crisp lettuces,1,0.0,0,3702
Cucumbers,0,0.0001789372362218328,58,324136
Cucumbers,1,0.0,0,25845
Cucumbers and similar-,0,6.3000063000063e-05,1,15873
Cucumbers and similar-,1,0.0,0,1665
Cultivated fungi and similar-,0,0.00013360499682688132,4,29939
Cultivated fungi and similar-,1,0.0,0,650
Cumin seed,0,0.007578992314261315,71,9368
Cumin seed,1,0.0,0,603
Cured seasoned pork meat,0,0.0,0,165
Curly endives,0,0.00088261253309797,1,1133
Curly kales,0,0.0010921940250562159,17,15565
Curly kales,1,0.0,0,309
"Currants (black, red and white)",0,0.0006324310650139134,10,15812
Currants and similar-,0,0.0,0,195
Curry leaves,0,0.0,0,2124
Cutting lettuces,0,0.0,0,2535
Cutting lettuces,1,0.0,0,1427
Daikon,0,0.0,0,435
Dairy fats,0,0.0,0,9
Damsons,0,0.004343105320304018,4,921
Dandelions,0,0.0,0,470
Dasheen taros,0,0.04878048780487805,4,82
Dates,0,0.0010072834340616767,13,12906
Dates,1,0.000407000407000407,1,2457
Dates and similar-,0,0.0,0,203
Deer fresh meat,0,0.0,0,1411
Deer kidney,0,0.0,0,22
Deer liver,0,0.0016155088852988692,1,619
"Deer, fallow fresh meat",0,0.0,0,291
"Deer, fresh fat tissue",0,0.0029239766081871343,1,342
"Deer, red fresh meat",0,0.0,0,31
Dill leaves,0,0.00064065230052417,11,17170
Dill leaves,1,0.0,0,1670
Dog rose,0,0.0,0,3288
Dried apples,0,0.0,0,643
Dried apricots,0,0.000552791597567717,6,10854
Dried apricots,1,0.0,0,2703
Dried bananas,0,0.0,0,1121
Dried bananas,1,0.0,0,1857
Dried dates,0,0.0013608087091757388,14,10288
Dried dates,1,0.00033692722371967657,1,2968
Dried figs,0,0.0,0,3454
Dried figs,1,0.0,0,277
Dried fruit,0,0.0008033419023136247,5,6224
Dried fruit,1,0.0007840062720501764,2,2551
Dried herbs,0,0.0015060465532409824,101,67063
Dried herbs,1,0.0004667081518357187,3,6428
Dried mangoes,0,0.0,0,550
Dried mangoes,1,0.0010471204188481676,1,955
Dried mushrooms,0,0.003195644454965085,27,8449
Dried mushrooms,1,0.008264462809917356,2,242
Dried nuts/seeds and related flours and powders,0,0.0,0,249
Dried nuts/seeds and related flours and powders,1,0.0,0,318
Dried prunes,0,0.0013425071320691392,8,5959
Dried prunes,1,0.0,0,924
Dried starchy roots and tuber products,1,0.0,0,308
Dried vegetables,0,0.002213453950534116,23,10391
Dried vegetables,1,0.00042498937526561835,1,2353
Dried vine fruits (raisins etc.),0,0.000921064750851985,80,86856
Dried vine fruits (raisins etc.),1,0.0,0,16991
"Duck fat, processed",0,0.0,0,227
Duck fresh meat,0,0.0,0,10658
Duck fresh meat,1,0.0,0,179
Duck liver,0,0.0,0,150
"Duck, fresh fat tissue",0,0.0,0,1208
Durians,0,0.011921458625525946,17,1426
Durum wheat grain,0,6.514657980456026e-05,1,15350
